Unnamed: 0,date,pm10,traffic,wind
404,2019-02-08,40,10587411,29
405,2019-02-09,46,9837568,32
406,2019-02-10,44,8448658,28
407,2019-02-11,59,10489371,39
408,2019-02-12,42,10661767,33
409,2019-02-13,55,10681660,39
410,2019-02-14,42,10800224,16
411,2019-02-15,59,10023887,41
412,2019-02-16,40,9915635,30
413,2019-02-17,46,8780636,43
414,2019-02-18,47,10299679,30
415,2019-02-19,55,9396770,23
416,2019-02-20,72,10375122,43
417,2019-02-21,70,10507225,31
418,2019-02-22,57,10724496,23
419,2019-02-23,64,10202787,10
420,2019-02-24,76,9000024,24
421,2019-02-25,58,10376027,41
422,2019-02-26,68,10451894,37
423,2019-02-27,76,10511754,22
424,2019-02-28,93,10686239,36
425,2019-03-01,91,9393368,34
426,2019-03-02,86,9366432,18
427,2019-03-03,122,8507155,18
428,2019-03-04,136,10065477,12
429,2019-03-05,106,10170361,24
430,2019-03-06,55,10321752,38
431,2019-03-07,53,10615958,33
432,2019-03-08,48,10849528,33
433,2019-03-09,51,10299867,19
434,2019-03-10,69,8805576,3
435,2019-03-11,74,10414991,22
436,2019-03-12,46,10535099,40
437,2019-03-13,47,10612124,42
438,2019-03-14,54,10662613,28
439,2019-03-15,46,10637057,20
440,2019-03-16,44,10112856,25
441,2019-03-17,46,8905754,39
442,2019-03-18,63,10361431,25
443,2019-03-19,83,10511416,12
444,2019-03-20,37,10414055,2
445,2019-03-21,41,10591471,32
446,2019-03-22,27,10946246,33
447,2019-03-23,31,10230965,32
448,2019-03-24,50,9032630,35
449,2019-03-25,63,10416091,12
450,2019-03-26,80,10594824,37
451,2019-03-27,75,10465776,25
452,2019-03-28,45,10667381,41
453,2019-03-29,41,10756053,20
454,2019-03-30,44,10162438,33
455,2019-03-31,30,8965572,46
456,2019-04-01,35,10484358,42
457,2019-04-02,44,10639953,37
458,2019-04-03,39,10677844,32
459,2019-04-04,72,10821327,26
460,2019-04-05,63,10916114,33
461,2019-04-06,43,10241721,11
462,2019-04-07,44,9225423,21
463,2019-04-08,29,10633161,37
464,2019-04-09,8,10721103,1
465,2019-04-10,30,10668047,16
